lr-Adam,lr-Adam-1,step,aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,aeloss_epoch,discloss_epoch,val/rec_loss,val/total_loss,val/logvar,val/kl_loss,val/nll_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,valid_mse_epoch,valid_mae_epoch
,,21581,20.783876419067383,332.5420227050781,0.0,4327.92431640625,332.5376892089844,0.0202964898198843,3496.344482421875,0.0,1.0110011100769043,0.0,0.0,-1.0361052751541138,-1.0110011100769043,2,,,,,,,,,,,,,,,
6.875686059275521e-07,6.875686059275521e-07,21908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21908,27.807519912719727,444.9203186035156,0.0,4712.5751953125,444.9156188964844,0.027155494317412376,5000.0,0.0,1.0223993062973022,0.0,0.0,-1.039010763168335,-1.0223993062973022,2,,,,,,,,,,,,,,,
6.903128430296379e-07,6.903128430296379e-07,22235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22235,29.812828063964844,477.0052490234375,0.0,4334.599609375,477.00091552734375,0.029113825410604477,5000.0,0.0,0.9983327388763428,0.0,0.0,-1.0203955173492432,-0.9983327388763428,2,,,,,,,,,,,,,,,
6.931942919868277e-07,6.931942919868277e-07,22562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22562,26.159072875976562,418.545166015625,0.0,4582.810546875,418.54058837890625,0.025545690208673477,3653.539306640625,0.0,1.0536184310913086,0.0,0.0,-1.0648764371871948,-1.0536184310913086,2,,,,,,,,,,,,,,,
6.959385290889135e-07,6.959385290889135e-07,22889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22889,34.32940673828125,549.2705078125,0.0,4548.611328125,549.2659301757812,0.0335245318710804,5000.0,0.0,1.0394285917282104,0.0,0.0,-1.0581486225128174,-1.0394285917282104,2,,,,,,,,,,,,,,,
6.988199780461033e-07,6.988199780461033e-07,23216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23216,33.3589973449707,533.7439575195312,0.0,4535.7001953125,533.7394409179688,0.032576870173215866,5000.0,0.0,1.0828403234481812,0.0,0.0,-1.088365077972412,-1.0828403234481812,2,,,,,,,,,,,,,,,
7.015642151481888e-07,7.015642151481888e-07,23543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23543,28.96512794494629,463.4420471191406,0.0,4507.3916015625,463.4375305175781,0.028285982087254524,5000.0,0.0,1.0111430883407593,0.0,0.0,-1.0258516073226929,-1.0111430883407593,2,,,,,,,,,,,,,,,
7.044456641053788e-07,7.044456641053788e-07,23870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23870,32.286399841308594,516.5823974609375,0.0,4378.75,516.5780029296875,0.031529419124126434,4264.6591796875,0.0,1.0629836320877075,0.0,0.0,-1.0803132057189941,-1.0629836320877075,2,,,,,,,,,,,,,,,
